Sillhoute-Neckline-Backline-Sleeves-Cloth-Border-Embroidery
A-A-A-A-A-A-A,7A
B-A-B-B-B-A-A,BA3B2A
B-A-B-B-B-A-B,BA3BAB
B-A-B-B-B-B-A,BA4BA
B-A-B-B-B-B-B,BA5B
B-A-B-B-C-A-A,BA2BC2A
B-A-B-B-C-A-B,BA2BCAB
B-A-B-B-C-B-A,BA2BCBA
B-A-B-B-C-B-B,BA2BC2B
B-B-A-A-A-A-A,2B5A
B-B-A-A-A-A-B,2B4AB
B-B-A-A-A-B-A,2B3ABA
B-B-A-A-A-B-B,2B3A2B
B-B-A-A-B-A-A,2B2AB2A
B-B-A-A-B-A-B,2B2ABAB
B-B-A-A-B-B-A,2B2A2BA
B-B-A-A-B-B-B,2B2A3B
B-B-A-A-C-A-A,2B2AC2A
B-B-A-A-C-A-B,2B2ACAB
B-B-A-A-C-B-A,2B2ACBA
B-B-A-A-C-B-B,2B2AC2B
B-B-A-B-A-A-A,2BAB3A
B-B-A-B-A-A-B,2BAB2AB
B-B-A-B-A-B-A,2BABABA
B-B-A-B-A-B-B,2BABA2B
B-B-A-B-B-A-A,2BA2B2A
B-B-A-B-B-A-B,2BA2BAB
B-B-A-B-B-B-A,2BA3BA
B-B-A-B-B-B-B,2BA4B
B-B-A-B-C-A-A,2BABC2A
B-B-A-B-C-A-B,2BABCAB
B-B-A-B-C-B-A,2BABCBA
B-B-A-B-C-B-B,2BABC2B
B-B-B-A-A-A-A,3B4A
B-B-B-A-A-A-B,3B3AB
B-B-B-A-A-B-A,3B2ABA
B-B-B-A-A-B-B,3B2A2B
B-B-B-A-B-A-A,3BAB2A
B-B-B-A-B-A-B,3BABAB
B-B-B-A-B-B-A,3BA2BA
B-B-B-A-B-B-B,3BA3B
B-B-B-A-C-A-A,3BAC2A
B-B-B-A-C-A-B,3BACAB
B-B-B-A-C-B-A,3BACBA
B-B-B-A-C-B-B,3BAC2B
B-B-B-B-A-A-A,4B3A
B-B-B-B-A-A-B,4B2AB
B-B-B-B-A-B-A,4BABA
B-B-B-B-A-B-B,4BA2B
B-B-B-B-B-A-A,5B2A
B-B-B-B-B-A-B,5BAB
B-B-B-B-B-B-A,6BA
B-B-B-B-B-B-B,7B
B-B-B-B-C-A-A,4BC2A
B-B-B-B-C-A-B,4BCAB
B-B-B-B-C-B-A,4BCBA
B-B-B-B-C-B-B,4BC2B
